State,Interest
Goa,100
Karnataka,51
Andhra Pradesh,44
Puducherry,40
Tamil Nadu,40
Meghalaya,39
Telangana,37
Maharashtra,37
Gujarat,36
Nagaland,34
Delhi,32
Kerala,30
Uttarakhand,26
Haryana,25
Chandigarh,23
Jammu and Kashmir,20
Punjab,18
West Bengal,17
Rajasthan,16
Chhattisgarh,16
Assam,15
Himachal Pradesh,13
Uttar Pradesh,13
Jharkhand,12
Odisha,12
Madhya Pradesh,11
Bihar,4
Daman and Diu,
Andaman and Nicobar Islands,
Sikkim,
Mizoram,
Dadra and Nagar Haveli,
Tripura,
Manipur,
Arunachal Pradesh,
Lakshadweep,
