Week,chocolate: (India)
2019-01-06,13
2019-01-13,12
2019-01-20,12
2019-01-27,12
2019-02-03,95
2019-02-10,17
2019-02-17,13
2019-02-24,12
2019-03-03,12
2019-03-10,11
2019-03-17,12
2019-03-24,11
2019-03-31,10
2019-04-07,10
2019-04-14,10
2019-04-21,10
2019-04-28,11
2019-05-05,11
2019-05-12,11
2019-05-19,11
2019-05-26,11
2019-06-02,10
2019-06-09,11
2019-06-16,11
2019-06-23,11
2019-06-30,11
2019-07-07,12
2019-07-14,11
2019-07-21,12
2019-07-28,13
2019-08-04,13
2019-08-11,15
2019-08-18,13
2019-08-25,12
2019-09-01,12
2019-09-08,13
2019-09-15,13
2019-09-22,13
2019-09-29,13
2019-10-06,12
2019-10-13,13
2019-10-20,15
2019-10-27,12
2019-11-03,12
2019-11-10,13
2019-11-17,13
2019-11-24,13
2019-12-01,13
2019-12-08,14
2019-12-15,15
2019-12-22,16
2019-12-29,16
2020-01-05,13
2020-01-12,12
2020-01-19,13
2020-01-26,13
2020-02-02,34
2020-02-09,69
2020-02-16,15
2020-02-23,14
2020-03-01,13
2020-03-08,12
2020-03-15,13
2020-03-22,12
2020-03-29,16
2020-04-05,19
2020-04-12,21
2020-04-19,20
2020-04-26,19
2020-05-03,21
2020-05-10,21
2020-05-17,20
2020-05-24,19
2020-05-31,18
2020-06-07,18
2020-06-14,18
2020-06-21,19
2020-06-28,19
2020-07-05,29
2020-07-12,20
2020-07-19,20
2020-07-26,21
2020-08-02,21
2020-08-09,18
2020-08-16,18
2020-08-23,18
2020-08-30,19
2020-09-06,20
2020-09-13,22
2020-09-20,20
2020-09-27,19
2020-10-04,18
2020-10-11,17
2020-10-18,17
2020-10-25,17
2020-11-01,17
2020-11-08,19
2020-11-15,17
2020-11-22,17
2020-11-29,18
2020-12-06,18
2020-12-13,18
2020-12-20,22
2020-12-27,20
2021-01-03,17
2021-01-10,16
2021-01-17,17
2021-01-24,18
2021-01-31,19
2021-02-07,100
2021-02-14,18
2021-02-21,17
2021-02-28,16
2021-03-07,16
2021-03-14,15
2021-03-21,16
2021-03-28,16
2021-04-04,16
2021-04-11,14
2021-04-18,15
2021-04-25,16
2021-05-02,18
2021-05-09,19
2021-05-16,19
2021-05-23,19
2021-05-30,19
2021-06-06,19
2021-06-13,18
2021-06-20,17
2021-06-27,18
2021-07-04,24
2021-07-11,17
2021-07-18,17
2021-07-25,16
2021-08-01,17
2021-08-08,17
2021-08-15,19
2021-08-22,18
2021-08-29,16
2021-09-05,15
2021-09-12,16
2021-09-19,15
2021-09-26,15
2021-10-03,15
2021-10-10,14
2021-10-17,15
2021-10-24,16
2021-10-31,17
2021-11-07,15
2021-11-14,16
2021-11-21,15
2021-11-28,16
2021-12-05,16
2021-12-12,17
2021-12-19,19
2021-12-26,18
