Week,homemade: (India)
2019-01-06,17
2019-01-13,13
2019-01-20,13
2019-01-27,14
2019-02-03,15
2019-02-10,15
2019-02-17,14
2019-02-24,15
2019-03-03,15
2019-03-10,14
2019-03-17,17
2019-03-24,15
2019-03-31,16
2019-04-07,14
2019-04-14,16
2019-04-21,14
2019-04-28,15
2019-05-05,15
2019-05-12,17
2019-05-19,14
2019-05-26,16
2019-06-02,17
2019-06-09,14
2019-06-16,16
2019-06-23,15
2019-06-30,12
2019-07-07,18
2019-07-14,16
2019-07-21,16
2019-07-28,15
2019-08-04,17
2019-08-11,13
2019-08-18,14
2019-08-25,13
2019-09-01,13
2019-09-08,16
2019-09-15,16
2019-09-22,15
2019-09-29,15
2019-10-06,14
2019-10-13,12
2019-10-20,14
2019-10-27,13
2019-11-03,15
2019-11-10,15
2019-11-17,17
2019-11-24,16
2019-12-01,16
2019-12-08,13
2019-12-15,15
2019-12-22,18
2019-12-29,16
2020-01-05,14
2020-01-12,12
2020-01-19,16
2020-01-26,12
2020-02-02,13
2020-02-09,13
2020-02-16,14
2020-02-23,16
2020-03-01,13
2020-03-08,14
2020-03-15,21
2020-03-22,35
2020-03-29,58
2020-04-05,84
2020-04-12,100
2020-04-19,91
2020-04-26,86
2020-05-03,83
2020-05-10,73
2020-05-17,63
2020-05-24,51
2020-05-31,44
2020-06-07,40
2020-06-14,38
2020-06-21,37
2020-06-28,34
2020-07-05,35
2020-07-12,40
2020-07-19,37
2020-07-26,37
2020-08-02,32
2020-08-09,31
2020-08-16,29
2020-08-23,27
2020-08-30,25
2020-09-06,30
2020-09-13,27
2020-09-20,26
2020-09-27,22
2020-10-04,19
2020-10-11,21
2020-10-18,20
2020-10-25,20
2020-11-01,21
2020-11-08,20
2020-11-15,19
2020-11-22,20
2020-11-29,18
2020-12-06,18
2020-12-13,20
2020-12-20,27
2020-12-27,22
2021-01-03,18
2021-01-10,15
2021-01-17,18
2021-01-24,17
2021-01-31,17
2021-02-07,17
2021-02-14,15
2021-02-21,15
2021-02-28,15
2021-03-07,18
2021-03-14,17
2021-03-21,16
2021-03-28,18
2021-04-04,17
2021-04-11,19
2021-04-18,21
2021-04-25,22
2021-05-02,24
2021-05-09,30
2021-05-16,32
2021-05-23,30
2021-05-30,29
2021-06-06,27
2021-06-13,25
2021-06-20,18
2021-06-27,18
2021-07-04,19
2021-07-11,17
2021-07-18,18
2021-07-25,17
2021-08-01,17
2021-08-08,14
2021-08-15,15
2021-08-22,14
2021-08-29,15
2021-09-05,13
2021-09-12,16
2021-09-19,13
2021-09-26,14
2021-10-03,11
2021-10-10,9
2021-10-17,12
2021-10-24,12
2021-10-31,13
2021-11-07,12
2021-11-14,12
2021-11-21,12
2021-11-28,11
2021-12-05,14
2021-12-12,10
2021-12-19,13
2021-12-26,14
